Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
HSI,12/31/86,2568.300049,2568.300049,2568.300049,2568.300049,2568.300049,0,333.8790064
HSI,1/2/87,2540.100098,2540.100098,2540.100098,2540.100098,2540.100098,0,330.2130127
HSI,1/5/87,2552.399902,2552.399902,2552.399902,2552.399902,2552.399902,0,331.8119873
HSI,1/6/87,2583.899902,2583.899902,2583.899902,2583.899902,2583.899902,0,335.90698726000005
HSI,1/7/87,2607.100098,2607.100098,2607.100098,2607.100098,2607.100098,0,338.9230127
NYA,5/5/82,716.369995,716.369995,716.369995,716.369995,716.369995,0,716.369995
NYA,5/6/82,722.289978,722.289978,722.289978,722.289978,722.289978,0,722.289978
NYA,5/7/82,727.049988,727.049988,727.049988,727.049988,727.049988,0,727.049988
NYA,5/10/82,721.340027,721.340027,721.340027,721.340027,721.340027,0,721.340027
NYA,5/11/82,727.469971,727.469971,727.469971,727.469971,727.469971,0,727.469971
NYA,5/12/82,726.309998,726.309998,726.309998,726.309998,726.309998,0,726.309998
NYA,5/13/82,721.130005,721.130005,721.130005,721.130005,721.130005,0,721.130005
NYA,5/14/82,720.179993,720.179993,720.179993,720.179993,720.179993,0,720.179993
IXIC,11/3/88,381.700012,383.100006,381.600006,382.799988,382.799988,117140000,382.799988
IXIC,11/4/88,382,382.799988,380.700012,381,381,105620000,381
IXIC,11/7/88,378.5,381.100006,376.299988,376.5,376.5,101420000,376.5
IXIC,11/8/88,377.899994,379.100006,376.5,378.799988,378.799988,113250000,378.799988
IXIC,11/9/88,378.200012,378.799988,376.899994,377.700012,377.700012,110400000,377.700012
IXIC,11/10/88,377.399994,378.5,377.399994,378.399994,378.399994,105730000,378.399994
IXIC,11/11/88,376.100006,378.399994,373.600006,373.799988,373.799988,109680000,373.799988
IXIC,11/14/88,371.799988,374,371.600006,372.399994,372.399994,100770000,372.399994
000001.SS,2/16/09,2338.758057,2389.87793,2328.178955,2389.386963,2389.386963,211400,382.3019141
000001.SS,2/17/09,2387.354004,2402.806885,2316.934082,2319.440918,2319.440918,198200,371.11054687999996
000001.SS,2/18/09,2271.26001,2295.740967,2206.062012,2209.862061,2209.862061,162400,353.57792975999996
000001.SS,2/19/09,2224.48999,2247.615967,2190.4729,2227.125,2227.125,129800,356.34000000000003
N225,8/22/86,18441.31055,18441.31055,18441.31055,18441.31055,18441.31055,0,184.4131055
N225,8/25/86,18565.60938,18565.60938,18565.60938,18565.60938,18565.60938,0,185.6560938
N225,8/26/86,18640.83008,18640.83008,18640.83008,18640.83008,18640.83008,0,186.4083008
N225,8/27/86,18503.26953,18503.26953,18503.26953,18503.26953,18503.26953,0,185.03269530000003
N225,8/28/86,18367.98047,18367.98047,18367.98047,18367.98047,18367.98047,0,183.67980469999998
N225,8/29/86,18533.67969,18533.67969,18533.67969,18533.67969,18533.67969,0,185.33679690000002
N225,9/1/86,18820.75,18820.75,18820.75,18820.75,18820.75,0,188.2075
N225,9/2/86,18694.92969,18694.92969,18694.92969,18694.92969,18694.92969,0,186.9492969
N100,8/13/07,974.840027,986.460022,972.789978,985.210022,985.210022,395916400,1201.956227
N100,8/14/07,978.380005,986.349976,969.5,971.719971,971.719971,363391000,1185.4983646199998
N100,8/15/07,960.669983,969.289978,957.070007,966.700012,966.700012,367062400,1179.374015
N100,8/16/07,948.849976,950.130005,934.049988,934.049988,934.049988,574042100,1139.540985
N100,8/17/07,929.72998,966.820007,926.030029,952.27002,952.27002,850092900,1161.769424
